Symbol	Description
FW.DB.A	Flow Capital Corp 8.0 Pct Debs
FW.DB.B	Flow Capital Corp 7.0 Pct Debs
FWZ	Fireweed Zinc Ltd
FYL	Finlay Minerals Ltd
GAL	Galantas Gold Corp
GAME	Millennial Esports Corp
GAR	Green Arrow Resources In
GAZ.UN	Fronsac Capital REIT Units
GB	Ginger Beef Corp
GBLT	Gblt Corp
GBR	Great Bear Resources Ltd
GBU	Gabriel Res J
GCCC	Gcc Global Capital Corporation
GCN	Goldcliff Resource Corp
GCR	Gespeg Copper Resources Inc
GCX.H	Granite Creek Gold Ltd
GDBO	Gold Rush Cariboo Corp.
GDM	Goldstar Minerals Inc
GDNP	Good Natured Products Inc.
GDP	Golden Pursuit Resources Ltd.
GDX	Goldex Resources Corp
GEL	Tangelo Games Corp
GEMC	Global Energy Metals Corp
GENE	Invictus MD Strategies Corp
GER	Glen Eagle Resources Inc
GFG	Gfg Resources Inc
GG	Galane Gold Ltd
GGG	Graphene 3D Lab Inc
GGI	Garibaldi Resources Corp
GGL	Ggl Resources Corp
GGM	Granada Gold Mine Inc
GGS	Golden Secret Ventures Ltd
GGX	Ggx Gold Corp
GHR.H	Golden Harp Resources Inc
GIGA	Giga Metals Corp
GIII	Gen III Oil Corp
GIS	Genesis Metals Corp
GIT	Gitennes Exploration Inc
GLB	Goldbank Mining Corp
GLD	Goldon Resources Ltd
GLDN	Golden Ridge Resources Ltd
GLI	Glacier Lake Resources Inc
GLIN.P	Global Investments Capital Corp
GLK	Great Lakes Graphite Inc
GLO	Global Atomic Corp.
GLW	Galway Gold Inc
GMA	Geomega Resources Inc
GMN	Gobimin Inc
GMV	Gmv Minerals Inc
GNC	Gainey Capital Corp
GNF	Greenfields Petroleum Corp
GNG	Golden Goliath Resources Ltd
GNH	Golden Hope Mines Ltd
GNT	Gentor Resources Inc
GOE	Goldeneye Resources Corp
GOG	Golden Tag Resources Ltd
GOM	Golden Dawn Minerals Inc
GOOD	Good Life Networks Inc
GOP	Gourmet Ocean Products Inc
GOT	Goliath Resources Limited
GOTO.P	Good2Go Corp
GPG	Grande Portage Resources Ltd
GPH	Graphite One Resources Inc
GPLY	Goldplay Exploration Ltd.
GPM	Gpm Metals Inc
GPV	Greenpower Motor Company Inc
GPY	Golden Predator Mining Corp
GQ	Great Quest Fertilizer Ltd
GQC	Goldquest Mining Corp
GR	Great Atlantic Resources Corp
GRA	Nanoxplore Inc
GRAT	Gratomic Inc.
GRB	Greenbriar Capital Corp
GRCC.P	Green Rise Capital Corporation
GRDM	Grid Metals Corp.
GRG	Golden Arrow Res Corp
GRI	Galore Resources Inc
GRK	Gray Rock Resources Ltd
GRO	Growmax Resources Corp
GROW	Co2 Gro Inc
GRR	Golden Reign Resources Ltd
GRX.H	Greenshield Explorations Limited
GRZ	Gold Reserve Inc
GSA	Groundstar Resources Ltd
GSD	Devonian Health Group Inc
GSH	Golden Share Resources Corp
GSI	Gatekeeper Systems Inc
GSP	Gensource Potash Corp
GSR	Goldstrike Resources Ltd
GSS	Gossan Resources Limited
GSX.H	Goldstream Minerals Inc
GTA	Gta Resources and Mining Inc
GTB	Greatbanks Resources Ltd
GTC	Getty Copper Inc
GTEC	Gtec Holdings Ltd.
GTG	Great Thunder Gold Corp
GTT	GT Gold Corp
GUG	Gungnir Resources Inc
GUN	Gunpoint Exploration Ltd
GUS.P	Angus Ventures Inc
GV	Guerrero Ventures Inc
GVG	Grenville Gold Corp.
GVR	Grosvenor Resources Corp
GVY	Green Valley Mine Incorporated
GWA	Gowest Gold Ltd
GWM	Galway Metals Inc
GXL	Galileo Exploration Ltd
GXR	Georox Resources Inc
GXS	Goldsource Mines Inc
GXU	Goviex Uranium Inc
GYA	Guyana Goldstrike Inc
GZD	Grizzly Discoveries Inc
GZZ	Golden Valley Mines Ltd
HAN	Hannan Metals Ltd
HAND	Handa Mining Corp.
HAR	Harfang Exploration Inc
HAW.P	Haw Capital Corp
HAWK	Hawkeye Gold and Diamond Inc
HBE	Hornby Bay Mineral Exploration Ltd
HBK	Highbank Resources Ltd
HEI	Huntington Exploration Inc
HEM	Hemostemix Inc
HEMP	Hempco Food and Fiber Inc
HEO	H2O Innovation Inc
HFC	Hampton Financial Corp
HFC.PR.A	Hampton Financial Corporation Pref A
HI	Highland Copper Company Inc
HIP	Newstrike Resources Ltd
HIP.WT	Newstrike Resources Ltd Wts
HIP.WT.A	Newstrike Resources Ltd Wts A
HIT	Hit Technologies Inc
HIVE	Hive Blockchain Technologies Inc.
HIVE.WT	Hive Blockchain Technologies Ltd Wts
HJI	Helijet International Inc
HLS	Hls Therapeutics Inc.
HMC	Havilah Mining Corporation
HME	Hemisphere Energy Corp
HMI	Hinterland Metals Inc
HMT	Halmont Properties Corp
HMX	Hunt Mining Corp
HOC	Hunter Oil Corp
HPI	Highbury Projects Inc.
HPL	Horizon Petroleum Ltd
HPQ	Hpq Silicon Resources Inc
HPY	Happy Creek Minerals Ltd
HRC	Helio Res Corp
HRE	Stans Energy Corp
HRH	Hillcrest Petroleum Ltd
HRL	Hansa Resources Limited
HSI	H Source Holdings Ltd
HTC	Htc Purenergy Inc
HTL	Hamilton Thorne Ltd
HTR	Heatherdale Resources Ltd
HUD	Hudson Resources Inc
HUT	Hut 8 Mining Corp
HVG	Harvest Gold Corp
HVT	Harvest One Cannabis Inc
HVT.WT	Harvest One Cannabis Inc Wts
HVT.WT.A	Harvest One Cannabis Inc Wts A
HWY	Highway 50 Gold Corp
HXC	Hfx Holding Corp
HZ	Hybrid Minerals Inc.
IB	Ibc Advanced Alloys Corp
IB.DB	Ibc Advanced Alloys Corp 8.25 Pct Debs
IBC	International Bethlehem Mining Corp
IBT	Ibex Technologies Inc
IC	International Corona Capital Corp
ICAU	Intercontinental Gold and Metals Ltd.
ICC	Icc Labs Inc.
ICI.P	Inceptus Capital Ltd
ICL	Itasca Capital Ltd
ICM	Iconic Minerals Ltd
ICO	Ico Therapeutics Inc
ID	Identillect Technologies Corp
IDH.H	Idg Holdings Inc.
IDI	Indico Resources Ltd
IDM	Idm Mining Ltd
IEI	Imperial Equities Inc
IES	Intercept Energy Services Inc
IFD.H	Intrinsic4D Inc
IFOS	Itafos
IFR	International Frontier Resources Corpora
IFX	Imaflex Inc
IGAM	Integrity Gaming Corp.
IGC.H	Igc Resources Inc
IGO	Independence Gold Corp
IGP	Imperial Ginseng Products Ltd
IGX	Intelgenx Technologies Corp
IGX.DB	Intelgenx Technologies Corp 8.0 Pct Debs
IKM	Ikkuma Resources Corp
ILA	Ilookabout Corp
ILC	International Lithium Corp
ILI	Infinite Lithium Corp.
IMA	I-Minerals Inc
IMEX	Imex Systems Inc
IMI	International Millennium Mining Corp
IMIN	Imining Blockchain & Cryptocurrency Inc.
IMR	Imetal Resources Inc
IMT	International Montoro Res. Inc
INP	Input Capital Corp
INX	Intouch Insight Ltd
IO	Inca One Gold Corp
ION	Alset Minerals Corp
IOT	Innovotech Inc
IOU	Iou Financial Inc
IPA	Immunoprecise Antibodies Ltd
IPC	Iplayco Corporation Ltd
IPD	International Parkside Products Inc
IPG	Imperial Mining Group Ltd
IPT	Impact Silver Corp
IQ	Airiq Inc
IRC	Ironside Resources Inc
IRI	Iemr Resources Inc
IRO	Inter-Rock Minerals Inc
IRR	Inform Resources Corp
ISD	Isign Media Solutions Inc
ISO	Isoenergy Ltd
ISS	International Samuel Exploration Corp
ITG	Intact Gold Corp
ITM	Intema Solutions Inc
ITR	Integra Resources Corp.
ITT	Internet of Things Inc
IVI	Ivrnet Inc
IVS	Inventus Mining Corp
IXI	Indigo Exploration Inc
IZ	International Zeolite Corp.
IZN	Inzinc Mining Ltd
IZZ	International Prospect Ventures Ltd
JADE	Jade Leader Corp.
JAEG	Jaeger Resources Corp.
JAX	Jaxon Mining Inc
JCO	Jericho Oil Corp
JDN	Jayden Resources Inc
JEC	Jura Energy Corp
JET	Canada Jetlines Ltd
JET.WT	Canada Jetlines Ltd Wts
JET.WT.A	Canada Jetlines Ltd Wts A
JFC	Jaguar Financial Corp
JG	Japan Gold Corp
JLR.H	Jiulian Resources Inc
JNX	Junex Inc
JOR	Jourdan Resources Inc
JP	Jackpot Digital Inc
JP.WT	Jackpot Digital Inc Wts
JSE	Jadestone Energy Inc
JSP	Jasper Mining Corp
JTC	Jemtec Inc
JTR	Greenspace Brands Inc
JTR.WT	Greenspace Brands Inc Wts
JUB	Jubilee Gold Exploration Ltd
JUGR	Juggernaut Exploration Ltd.
JWCA	James E. Wagner Cultivation Corp.
JZR	Jazz Resources Inc
