Symbol	Description
ASW	Advanced Share Registry Ltd
ASX	Australian Stock Exchange Ltd
ASXKOB	Asx Limited
ASXKOC	Asx Limited
ASXKOP	Asx Limited
ASXKOR	Asx Limited
ASXKOT	Asx Limited
ASY	Assemblebay Limited
ATA	Atc Alloys Ltd
ATC	Advantage Telecommunications Ltd
ATL	Auto Enterprises Ltd
ATM	Aneka Tambang (Persero) Tbk (Indo)
ATP	Atlas Pacific Ltd
ATR	Astron Ltd
ATS	Australis Oil & Gas Limited
ATT	Amnett Ltd
ATU	Atrum Coal Nl
ATUO	Atrum Coal Limited
AU1	Ausnet Financial Services Limited
AU1O	Ausnet Financial Services Limited
AU8	Aumake International Limited
AUB	Austbrokers Holdings Ltd
AUC	Ausgold Limited
AUH	Australian Healthcare Technology Ltd
AUI	Australian United Investment Ltd
AUL	Australian United Gold Ltd
AUMF	AUMF
AUP	Aurora Property Income Trust
AUQ	Alara Uranium Ltd
AUR	Auris Minerals Limited
AUST	AUST
AUZ	Australian Mines Ltd
AVA	Aviva Corporation Ltd
AVB	Avanco Resources Ltd
AVC	Australian Visual Communications
AVD	Advance Energy Ltd
AVG	Australian Vintage Ltd t/over by SWS
AVH	Avita Medical Ltd
AVJ	AV Jennings Homes Ltd
AVL	Anvil Mining Nl
AVLO	
AVN	Avon Resources Ltd
AVQ	Axiom Mining Ltd
AVQO	Axiom Mining Limited
AVW	Avira Energy Limited
AVZ	Avonlea Minerals Ltd
AVZO	Avz Minerals Limited
AWC	Alumina Ltd
AWCKOA	Alumina Limited
AWCKOB	Alumina Limited
AWCKOC	Alumina Limited
AWCKOD	Alumina Limited
AWCKOE	Alumina Limited
AWCKOH	Alumina Limited
AWCKOS	Alumina Limited
AWCKOT	Alumina Limited
AWCKOU	Alumina Limited
AWCKOX	Alumina Limited
AWN	Arowana International Limited
AWV	Anova Metals Limited
AWY	Australian Whisky Holdings Limited
AX1	Accent Group Limited
AX8	Accelerate Resources Limited
AXE	Archer Exploration Ltd
AXI	Axiom Properties Ltd
AXL	Aucxis
AXLHA	Axsesstoday Limited
AXP	Airxpanders Inc
AXT	Argo Exploration Ltd
AYF	Australian Enhanced Income Fund
AYI	A1 Investments & Resources Ltd
AYK	Australian Masters Yield Fund No 4 Limited
AYM	Altius Mining Limited
AYR	Alloy Resources Ltd
AYS	Amaysim Australia Limited
AYUHB	Australian Unity Limited
AYZ	Australian Masters Yield Fund No 5 Limited
AZI	Alta Zinc Limited
AZJ	Aurizon Holdings Limited
AZJKOA	Aurizon Holdings Limited
AZJKOB	Aurizon Holdings Limited
AZJKOE	Aurizon Holdings Limited
AZJKOP	Aurizon Holdings Limited
AZJKOQ	Aurizon Holdings Limited
AZJKOR	Aurizon Holdings Limited
AZJKOS	Aurizon Holdings Limited
AZM	Azumah Resources Ltd
AZS	Azure Minerals Ltd
AZV	Azure Healthcare Limited
AZY	Antipa Minerals Limited
B2Y	Bounty Mining Limited
BAF	Blue Sky Alternatives Access Fund Limited
BAH	Bojun Agriculture Holdings Limited
BAL	Bellamys Australia Limited
BALKOB	Bellamys Australia Limited
BALKOC	Bellamys Australia Limited
BALKOD	Bellamys Australia Limited
BAP	Burson Group Limited
BAPKOA	Bapcor Limited
BAPKOB	Bapcor Limited
BAPKOQ	Bapcor Limited
BAR	Barra Resources ltd
BAS	Bass Strait Oil Company Ltd
BASOA	Bass Oil Limited
BAT	Battery Minerals Limited
BATO	Battery Minerals Limited
BAU	Bauxite Resources Ltd
BBL	Brisbane Broncos Ltd
BBN	Baby Bunting Group Limited
BBOZ	BBOZ
BBR	Bora Bora Resources Limited
BBX	BBX Holdings Ltd
BC8	Black Cat Syndicate Limited
BCB	Bowen Coking Coal Limited
BCBO	Bowen Coking Coal Limited
BCI	BC Iron Ltd
BCK	Brockman Mining Limited
BCL	Betcorp Ltd
BCN	Beacon Minerals Ltd
BCNOB	Beacon Minerals Limited
BCT	Bluechiip Limited
BD1	Bard1 Life Sciences Limited
BDA	Bod Australia Limited
BDI	Blina Diamonds NL
BDR	Beadell Resources Ltd
BEAR	BEAR
BEE	Broo Ltd
BEL	Bentley International Ltd
BEM	Blackearth Minerals Nl
BEN	Bendigo Bank Ltd
BENHB	Bendigo And Adelaide Bank Limited
BENKOC	Bendigo And Adelaide Bank Limited
BENKOG	Bendigo And Adelaide Bank Limited
BENKOS	Bendigo And Adelaide Bank Limited
BENPE	Bendigo And Adelaide Bank Limited
BENPF	Bendigo And Adelaide Bank Limited
BENPG	Bendigo And Adelaide Bank Limited
BFC	Beston Global Food Company Limited
BFG	Bell Financial Group Ltd
BGA	Bega Cheese Limited
BGH	Bligh Resources Limited
BGL	Bigair Group Ltd
BGP	Briscoe Group Australasia Limited
BGS	Birimian Gold Limited
BGT	Bio-gene Technology Ltd
BGTO	Bio-gene Technology Ltd
BHD	Benjamin Hornigold Limited
BHDO	Benjamin Hornigold Limited
BHL	Bidvest Plc
BHP	BHP Billiton Ltd
BHPBOA	Bhp Billiton Limited
BHPKOB	Bhp Billiton Limited
BHPKOD	Bhp Billiton Limited
BHPKOE	Bhp Billiton Limited
BHPKOF	Bhp Billiton Limited
BHPKOH	Bhp Billiton Limited
BHPKOJ	Bhp Billiton Limited
BHPKOK	Bhp Billiton Limited
BHPKOM	Bhp Billiton Limited
BHPKOQ	Bhp Billiton Limited
BHPKOR	Bhp Billiton Limited
BHPKOU	Bhp Billiton Limited
BHPKOW	Bhp Billiton Limited
BHPKOX	Bhp Billiton Limited
BHPKOZ	Bhp Billiton Limited
BHPLOB	Bhp Billiton Limited
BHPLOC	Bhp Billiton Limited
BHPLOD	Bhp Billiton Limited
BHPLOE	Bhp Billiton Limited
BHPLOG	Bhp Billiton Limited
BHPLOH	Bhp Billiton Limited
BHPLOI	Bhp Billiton Limited
BHPLON	Bhp Billiton Limited
BHPLOR	Bhp Billiton Limited
BHPLOT	Bhp Billiton Limited
BHPLOU	Bhp Billiton Limited
BHPMOD	Bhp Billiton Limited
BHPMOQ	Bhp Billiton Limited
BHPMOR	Bhp Billiton Limited
BID	Bidenergy Limited
BIDO	Bidenergy Limited
BIG	BIgShop.com.au
BILL	BILL
BIN	Bingo Industries Limited
BIQ	Buildingiq, Inc
BIR	Burswood
BIS	
BIT	Biotron Ltd
BITOA	Biotron Limited
BITOB	Biotron Limited
BKI	Brickworks Investment Company Ltd
BKL	Blackmores Laboratories Ltd
BKLKOD	Blackmores Limited
BKLKOP	Blackmores Limited
BKLKOQ	Blackmores Limited
BKM	BKM Management Ltd
BKP	Baraka Petroleum Ltd
BKT	Black Rock Mining Limited
BKTOD	Black Rock Mining Limited
BKW	Brickworks Ltd
BKY	Berkeley Resources Ltd
BLA	Blue Sky Alternative Investments Limited
BLD	Boral Ltd
BLDKOB	Boral Limited.
BLDKOD	Boral Limited.
BLDKOP	Boral Limited.
BLDKOS	Boral Limited.
BLDKOU	Boral Limited.
BLG	Blugass Ltd
BLK	Blackham Resources Ltd
BLKOA	Blackham Resources Limited
BLT	Benitec Ltd
BLX	Beacon Lighting Group Limited
