Symbol	Description
0GB6	TECHNOPOLIS OYJ NPV
0GB7	TELEKOMUNIKACJA POLSKA PLN3
0GC8	TAKKT AG NPV
0GCB	TECHNOTRANS AG NPV
0GD5	UBM REALITAETENENTWICKLUNG NPV
0GDH	ULRIC DE VARENS NPV
0GDR	UNIQA VERSICHERUNG AG NPV
0GDU	UNIPETROL CZK100
0GE4	UNITED INTERNET AG NPV
0GED	VISCOM AG NPV
0GEG	VAISALA NPV`A`
0GF6	VEIDEKKE NOK0.5
0GFA	VAN DE VELDE ORD NPV
0GHF	VARVARESSOS SA EUR1(CB)
0GJK	WASHTEC AG NPV
0GJN	WUSTENROT & WURTTEMBERGISCHE AG NPV
0GJS	XILAM ANIMATION EUR0.10
0GKA	YIT OYJ NPV
0GM2	LEROY SEAFOOD GROUP NOK1
0GM9	ESI GROUP EUR3
0GMG	ADDNODE AB SER`B`NPV
0GN6	ARGAN EUR2
0GNK	KNOW IT ORD NPV
0GNM	REZIDOR HOTEL GROUP AB NPV
0GNX	GUNNEBO AB NPV
0GO4	SWEDISH MATCH AB NPV
0GOW	NIBE INDUSTRIER AB SER`B`NPV
0GOX	POLYTEC HOLDING AG EUR1
0GOZ	DATATRAK HLDGS EUR0.232937
0GP7	MEDIVIR SER`B`NPV
0GQE	CLAS OHLSON AB SER `B` NPV
0GQU	ACTIVE BIOTECH NPV
0GRG	KUNGSLEDEN NPV
0GRK	MILLICOM INTERNATIONAL CELLULAR BDR EACH REP 1 USD1.50 MILLICOM INTL
0GRP	BIOTAGE AB NPV
0GRX	HEXAGON AB SER`B`NPV
0GRZ	RAYSEARCH LABORATORIES AB SER`B`NPV
0GSE	MIDELFART SONESSON AB SER`B`NPV
0GT1	CASTELLUM AB SEK0.50
0GTI	CRCAM BRIE PICARDIE (2EME DU NOM) EUR5
0GTM	DIOS FASTIGHETER AB NPV
0GTN	BIOGAIA AG SER`B`NPV
0GTO	KAPSCH TRAFFICCOM AG NPV
0GTR	HUSQVARNA SER`B`NPV
0GUO	CTT SYSTEMS NPV
0GUX	SKANDINAVISKA ENSKILDA BANKEN SER`C`NPV
0GVS	CATENA AB NPV
0GW0	NOBIA AB NPV
0GW3	HUFVUDSTADEN AB SER`A`NPV
0GW8	GRIEG SEAFOOD NOK1
0GWB	LUNDBERGFORETAGEN AB SER`B`NPV
0GWL	SAAB AB SER`B`NPV
0GWS	BILLERUD AB NPV
0GXB	BIALETTI INDUSTRIE EUR0.25
0GXJ	MODERN TIMES GROUP(MTG) SER`B`NPV
0GYM	ACKERMANS NPV(POST SPLIT)
0GYQ	VARTA AG NPV
0GZB	PROBI AB NPV
0GZK	IBA(ION BEAM APPLICATIONS) NPV(POST SPLIT)
0GZV	GETINGE AB SER`B`NPV
0GZX	DIASORIN S.P.A. EUR1
0H00	BANCO DE SABADELL SA EUR0.125
0H0G	SWECO AB SER`B`NPV
0H0L	ROTTNEROS AB ORD NPV
0H0U	SENSYS TRAFFIC AB NPV
0H13	INDUSTRIVARDEN AB SER`A`NPV
0H14	NET INSIGHT NPV SER`B`
0H19	OREXO AB NPV
0H2Z	FASTIGHETS BALDER AB NPV
0H30	INDUTRADE AB NPV
0H34	SKISTAR AB SER`B`NPV
0H38	PRICER AB SER`B`NPV
0H3Q	DEUTSCHE POST AG NPV(REGD)
0H3T	DEUTSCHE BOERSE AG NPV
0H3X	LINDE AG NPV
0H4A	DEUTSCHE LUFTHANSA AG NPV
0H4N	GAMESA CORPORACION TECNOLOGICA SA ORD EUR0.17
0H59	ACCOR EUR3
0H65	JUVENTUS FOOTBALL CLUB SPA EUR0.10
0H6G	ENI EUR1
0H6I	TELECOM ITALIA SPA(NEW) EUR0.55
0H6T	SWEDBANK AB SER`A`NPV
0H6X	TELIASONERA AB NPV
0H7B	WINCOR NIXDORF NPV
0H7D	DEUTSCHE BANK AG ORD NPV(REGD)
0H7I	LANXESS AG NPV
0H7O	BANKINTER SA EUR0.30(REGD)
0H8X	LOCINDUS EUR5.75
0H9P	INTRUM JUSTITIA AB NPV
0H9X	FRESENIUS MEDICAL CARE AG & CO.KGAA NPV
0HA0	RWE AG(NEU) NPV`A`
0HA3	MUNCHENER RUCKVERSICHERUNGS AG NPV(REGD)
0HA5	ABERTIS INFRAESTRUCTURAS EUR3
0HA8	CORPORACION FINANCIERA ALBA EUR1
0HA9	INDRA SISTEMAS S.A EUR0.20'A'
0HAA	FOMENTO DE CONSTRUCCIONES Y CONTRA EUR1
0HAC	ACS ACTIVIDADES DE CONSTRUCCION Y ORD EUR0.5
0HAF	NOKIA CORP NPV0.06
0HAG	SAMPO SER'A'NPV
0HAH	FORTUM OYJ EUR3.40
0HAI	CREDIT AGRICOLE EUR3
0HAL	CARREFOUR EUR2.5
0HAN	BOUYGUES EUR1
0HAO	SUEZ EUR2
0HAQ	SANOFI-AVENTIS EUR2
0HAR	AXA EUR2.29
0HAT	PERNOD-RICARD NPV
0HAU	LVMH MOET-HENNESSY LOUIS VUITTON EUR0.30
0HAV	SODEXHO ALLIANCE EUR4
0HAZ	CAP GEMINI EUR8
0HB0	CANAL PLUS EUR0.75
0HB1	CASINO GUICHARD-PERRACHON EUR1.53
0HB2	LAGARDERE GROUP S.C.A. EUR6.10(REGD)
0HB4	DASSAULT SYSTEMES SA EUR1
0HB5	BNP PARIBAS EUR2
0HB7	FRANCE TELECOM EUR4
0HB9	ALSTOM EUR14
0HBA	EDF EUR0.50
0HBB	ARKEMA EUR10
0HBC	INTESA SANPAOLO SPA EUR0.52
0HBF	MEDIOBANCA SPA EUR0.50
0HBH	RCS MEDIAGROUP EUR1
0HBO	GRUPPO EDITORIALE L'ESPRESSO EUR0.15
0HBP	HENNES & MAURITZ AB NPV 'B'
0HBQ	SKF AB SER`B`NPV
0HBT	SKANSKA AB SER'B'NPV
0HBY	SKANDINAVISKA ENSKILDA BANKEN SER'A'NPV
0HC0	SANDVIK AB NPV
0HCR	NOBEL BIOCARE AG CHF2
0HDJ	MEKONOMEN AB NPV
0HDK	SYSTEMAIR AB NPV
0HDP	D/S NORDEN DKK1
0HDQ	SYNERGIE EUR5
0HDY	GOLAR LNG COM STK USD1.00
0HE6	NYSE EURONEXT INC COM STK USD0.01
0HEQ	C.M.B.(COMPANY MARITIME BELGE) NPV (POST-SPLIT)
0HEZ	EAST CAPITAL EXPLORER AB NPV
0HFD	GREENTECH ENERGY SYSTEMS DKK5
0HFH	GORENJSKI TISK NPV
0HFJ	HAMBURGER HAFEN UND LOGISTIK AG NPV (REGD)
0HFR	JAZZTEL EUR0.08
0HGC	PORSCHE AG NON VTG PRF NPV
0HGQ	STAR REEFERS INC COM STK USD0.01
0HGR	SUBSEA 7 INC COM STK USD0.01
0HGZ	TOWER GROUP A/S DKK10
0HHI	SURTECO SE NPV
0HHU	SIRAGA EUR3.75
0HIT	IBERDROLA SA EUR0.75
0HIY	BOLSAS Y MERCADOS ESPANOLES EUR3.23
0HJC	VILMORIN ET CIE EUR15.25
0HJF	ABB LTD CHF2.50(REGD)
0HJI	S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV
0HJL	ICADE EMGP NPV
0HK4	COMPAGNIE FINANCIERE RICHEMONT SA `A`CHF1(BR)EQUITY UNIT
0HK8	HEAD NV EUR0.01
0HKE	NOVARTIS AG CHF0.50(REGD)
0HKH	SWISSCOM AG CHF1(REGD)
0HKT	THEOLIA EUR1
0HL5	TRDNJAVA HLDG DD NPV
0HL8	WALLENSTAM SER`B`NPV
0HLE	FAIR VALUE REIT-AG NPV
0HLQ	TAG TEGERNSEE IMMO AG NPV
0HLU	EURONEXT AMSTERDAM EUR6
0HM0	VGP NV EUR0.014
0HMM	DOF ASA NOK2
0HMZ	GRUPPO COIN SPA. EUR0.10
0HN1	ROYAL CARIBBEAN CRUISES COM STK USD0.01
0HN3	S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV
0HNF	GAM DIVERSITY INC COM SHS NPV USD
0HNH	BOUSSARD & GAVAUDAN HOLDING EUR0.0001
0HNN	BRD KLEE SER`B`DKK100
0HNZ	ARSEUS NV NPV
0HOB	ARCHER-DANIELS-MIDLAND CO COM STK NPV
0HOH	COFINIMMO ORD NPV
0HOJ	COMPUGROUP HOLDING AG NPV
0HOU	INGENICO EUR1
0HOV	INTRACOM HLDGS SA EUR1.41
0HOY	KONGSBERG AUTOMOTIVE ASA NOK0.50
0HQN	ALCOA INC COM STK USD1
0HQR	ALFA LAVAL AB NPV
0HQU	COLRUYT SA NPV
