Symbol	Description
CUQ20	Crude Palm Oil {Aug 20}
CUQ21	Crude Palm Oil {Aug 21}
CUQ22	Crude Palm Oil {Aug 22}
CUU18	Crude Palm Oil {Sep 18}
CUU19	Crude Palm Oil {Sep 19}
CUU20	Crude Palm Oil {Sep 20}
CUU21	Crude Palm Oil {Sep 21}
CUU22	Crude Palm Oil {Sep 22}
CUV18	Crude Palm Oil {Oct 18}
CUV19	Crude Palm Oil {Oct 19}
CUV20	Crude Palm Oil {Oct 20}
CUV21	Crude Palm Oil {Oct 21}
CUV22	Crude Palm Oil {Oct 22}
CUX18	Crude Palm Oil {Nov 18}
CUX19	Crude Palm Oil {Nov 19}
CUX20	Crude Palm Oil {Nov 20}
CUX21	Crude Palm Oil {Nov 21}
CUX22	Crude Palm Oil {Nov 22}
CUZ18	Crude Palm Oil {Dec 18}
CUZ19	Crude Palm Oil {Dec 19}
CUZ20	Crude Palm Oil {Dec 20}
CUZ21	Crude Palm Oil {Dec 21}
CUZ22	Crude Palm Oil {Dec 22}
D6	Canadian Dollar
D6.C	Canadian Dollar Continuation
D6H19	Canadian Dollar {Mar 19}
D6H20	Canadian Dollar {Mar 20}
D6H21	Canadian Dollar {Mar 21}
D6H22	Canadian Dollar {Mar 22}
D6H23	Canadian Dollar {Mar 23}
D6M19	Canadian Dollar {Jun 19}
D6M20	Canadian Dollar {Jun 20}
D6M21	Canadian Dollar {Jun 21}
D6M22	Canadian Dollar {Jun 22}
D6M23	Canadian Dollar {Jun 23}
D6N18	Canadian Dollar {Jul 18}
D6Q18	Canadian Dollar {Aug 18}
D6U18	Canadian Dollar {Sep 18}
D6U19	Canadian Dollar {Sep 19}
D6U20	Canadian Dollar {Sep 20}
D6U21	Canadian Dollar {Sep 21}
D6U22	Canadian Dollar {Sep 22}
D6V18	Canadian Dollar {Oct 18}
D6X18	Canadian Dollar {Nov 18}
D6Z18	Canadian Dollar {Dec 18}
D6Z19	Canadian Dollar {Dec 19}
D6Z20	Canadian Dollar {Dec 20}
D6Z21	Canadian Dollar {Dec 21}
D6Z22	Canadian Dollar {Dec 22}
DA	Class III Milk (Pit)
DA.C	Class III Milk (Pit) Continuation
DAF19	Class III Milk (Pit) {Jan 19}
DAF20	Class III Milk (Pit) {Jan 20}
DAG19	Class III Milk (Pit) {Feb 19}
DAG20	Class III Milk (Pit) {Feb 20}
DAH19	Class III Milk (Pit) {Mar 19}
DAH20	Class III Milk (Pit) {Mar 20}
DAJ19	Class III Milk (Pit) {Apr 19}
DAJ20	Class III Milk (Pit) {Apr 20}
DAK19	Class III Milk (Pit) {May 19}
DAK20	Class III Milk (Pit) {May 20}
DAM18	Class III Milk (Pit) {Jun 18}
DAM19	Class III Milk (Pit) {Jun 19}
DAM20	Class III Milk (Pit) {Jun 20}
DAN18	Class III Milk (Pit) {Jul 18}
DAN19	Class III Milk (Pit) {Jul 19}
DAQ18	Class III Milk (Pit) {Aug 18}
DAQ19	Class III Milk (Pit) {Aug 19}
DAU18	Class III Milk (Pit) {Sep 18}
DAU19	Class III Milk (Pit) {Sep 19}
DAV18	Class III Milk (Pit) {Oct 18}
DAV19	Class III Milk (Pit) {Oct 19}
DAX18	Class III Milk (Pit) {Nov 18}
DAX19	Class III Milk (Pit) {Nov 19}
DAZ18	Class III Milk (Pit) {Dec 18}
DAZ19	Class III Milk (Pit) {Dec 19}
DB	Butter
DD.C	E-Mini Dev. Europe Continuation
DDH19	E-Mini Dev. Europe {Mar 19}
DDM19	E-Mini Dev. Europe {Jun 19}
DDU18	E-Mini Dev. Europe {Sep 18}
DDU19	E-Mini Dev. Europe {Sep 19}
DDZ18	E-Mini Dev. Europe {Dec 18}
DF	Nonfat Dry Milk
DF.C	Nonfat Dry Milk Continuation
DFF19	Nonfat Dry Milk {Jan 19}
DFF20	Nonfat Dry Milk {Jan 20}
DFG19	Nonfat Dry Milk {Feb 19}
DFG20	Nonfat Dry Milk {Feb 20}
DFH19	Nonfat Dry Milk {Mar 19}
DFH20	Nonfat Dry Milk {Mar 20}
DFJ19	Nonfat Dry Milk {Apr 19}
DFJ20	Nonfat Dry Milk {Apr 20}
DFK19	Nonfat Dry Milk {May 19}
DFK20	Nonfat Dry Milk {May 20}
DFM18	Nonfat Dry Milk {Jun 18}
DFM19	Nonfat Dry Milk {Jun 19}
DFM20	Nonfat Dry Milk {Jun 20}
DFN18	Nonfat Dry Milk {Jul 18}
DFN19	Nonfat Dry Milk {Jul 19}
DFQ18	Nonfat Dry Milk {Aug 18}
DFQ19	Nonfat Dry Milk {Aug 19}
DFU18	Nonfat Dry Milk {Sep 18}
DFU19	Nonfat Dry Milk {Sep 19}
DFV18	Nonfat Dry Milk {Oct 18}
DFV19	Nonfat Dry Milk {Oct 19}
DFX18	Nonfat Dry Milk {Nov 18}
DFX19	Nonfat Dry Milk {Nov 19}
DFZ18	Nonfat Dry Milk {Dec 18}
DFZ19	Nonfat Dry Milk {Dec 19}
DG.C	Dry Whey Continuation
DGF19	Dry Whey {Jan 19}
DGF20	Dry Whey {Jan 20}
DGG19	Dry Whey {Feb 19}
DGG20	Dry Whey {Feb 20}
DGH19	Dry Whey {Mar 19}
DGH20	Dry Whey {Mar 20}
DGJ19	Dry Whey {Apr 19}
DGJ20	Dry Whey {Apr 20}
DGK19	Dry Whey {May 19}
DGK20	Dry Whey {May 20}
DGM18	Dry Whey {Jun 18}
DGM19	Dry Whey {Jun 19}
DGM20	Dry Whey {Jun 20}
DGN18	Dry Whey {Jul 18}
DGN19	Dry Whey {Jul 19}
DGQ18	Dry Whey {Aug 18}
DGQ19	Dry Whey {Aug 19}
DGU18	Dry Whey {Sep 18}
DGU19	Dry Whey {Sep 19}
DGV18	Dry Whey {Oct 18}
DGV19	Dry Whey {Oct 19}
DGX18	Dry Whey {Nov 18}
DGX19	Dry Whey {Nov 19}
DGZ18	Dry Whey {Dec 18}
DGZ19	Dry Whey {Dec 19}
DK	Class IV Milk
DK.C	Class IV Milk Continuation
DKF19	Class IV Milk {Jan 19}
DKF20	Class IV Milk {Jan 20}
DKG19	Class IV Milk {Feb 19}
DKG20	Class IV Milk {Feb 20}
DKH19	Class IV Milk {Mar 19}
DKH20	Class IV Milk {Mar 20}
DKJ19	Class IV Milk {Apr 19}
DKJ20	Class IV Milk {Apr 20}
DKK19	Class IV Milk {May 19}
DKK20	Class IV Milk {May 20}
DKM18	Class IV Milk {Jun 18}
DKM19	Class IV Milk {Jun 19}
DKM20	Class IV Milk {Jun 20}
DKN18	Class IV Milk {Jul 18}
DKN19	Class IV Milk {Jul 19}
DKQ18	Class IV Milk {Aug 18}
DKQ19	Class IV Milk {Aug 19}
DKU18	Class IV Milk {Sep 18}
DKU19	Class IV Milk {Sep 19}
DKV18	Class IV Milk {Oct 18}
DKV19	Class IV Milk {Oct 19}
DKX18	Class IV Milk {Nov 18}
DKX19	Class IV Milk {Nov 19}
DKZ18	Class IV Milk {Dec 18}
DKZ19	Class IV Milk {Dec 19}
DL.C	Class III Milk Continuation
DLF19	Class III Milk {Jan 19}
DLF20	Class III Milk {Jan 20}
DLG19	Class III Milk {Feb 19}
DLG20	Class III Milk {Feb 20}
DLH19	Class III Milk {Mar 19}
DLH20	Class III Milk {Mar 20}
DLJ19	Class III Milk {Apr 19}
DLJ20	Class III Milk {Apr 20}
DLK19	Class III Milk {May 19}
DLK20	Class III Milk {May 20}
DLM18	Class III Milk {Jun 18}
DLM19	Class III Milk {Jun 19}
DLM20	Class III Milk {Jun 20}
DLN18	Class III Milk {Jul 18}
DLN19	Class III Milk {Jul 19}
DLQ18	Class III Milk {Aug 18}
DLQ19	Class III Milk {Aug 19}
DLU18	Class III Milk {Sep 18}
DLU19	Class III Milk {Sep 19}
DLV18	Class III Milk {Oct 18}
DLV19	Class III Milk {Oct 19}
