Symbol	Description
DUOF	DOW Util Stocks Above 150-Day Average
DUOH	DOW Util Stocks Above 100-Day Average
DUSL	DJ US LRGCAP
DUSM	DJ US MIDCAP
DUSS	DJ US SMLCAP
DUTH	DOW Util Stocks Above 200-Day Average
DUTW	DOW Util Stocks Above 20-Day Average
DVCA	AMEX Declining Volume
DVCD	OTC Declining Volume
DVCE	ETFS  Declining Volume
DVCN	NYSE Declining Volume
DVCQ	NASD Declining Volume
DVCS	TSX Declining Volume
DVCT	Total Declining Volume
DVCV	Tsxv Declining Volume
DVCX	CAD Total Declining Volume
DVS	S&P 500 DIVIDEND INDEX - 10X
DWCB	DJ US BANKS TOTAL INDEX
DXY	U.S. Dollar Index
EVZ	CBOE EURO CURR VOL IND
FBV	Powershrs Db G10 Fd Iopv
FVX	5-YEAR TREASURY NOTE
GLD	Gold Index
GNX	GSCI Spot Return
GVX	Goldman Sachs Livestock Sub Index
GVZ	GSTI SERVICES INDEX SETTLEMENT
HGX	Phlx Hsg Sector Index
HIGA	AMEX New Highs
HIGD	OTC New Highs
HIGN	NYSE New Highs
HIGQ	NASD New Highs
HIGS	TSX New Highs
HIGV	Tsxv New Highs
HUI	AMEX Gold Bugs Index
IDX	S&P 400 Midcap Index
INDS	Nasdaq Industrial
INSR	Nasdaq Inurance
IQX	S&P 500 EQUAL WEIGHT
IQZ	S&P 1000
IRX	13-WEEK TREASURY BILL
IVX	S&P 500 Value
IXB	Materials Select Sector Index
IXCO	Nasdaq Computer
IXE	The Energy Select Sector Index
IXF	Nasdaq Financial 100
IXHC	NASDAQ Health Care Index
IXI	Industrial Select Sector Index
IXM	Financial Select Sector Index
IXR	Consumer Staples Select Sector Index
IXTC	Nasdaq Telecommunications
IXU	Utilities Select Sector Index
IXV	Healthcare Select Sector Index
IXY	Consumer Discretionary Select Sector Index
JX	Tsx Venture Composite Index
KDX	KBW Finsec Dividend Yield Index
KIX	KBW Insurance Index
KPX	KBW Property & Casualty Index
KRX	KBW Regional Banking Index
KSX	KBW Capital Markets Index
KYX	KBW Premium Yield Equity REIT Index
LOWA	AMEX New Lows
LOWD	OTC New Lows
LOWN	NYSE New Lows
LOWQ	NASD New Lows
LOWS	TSX New Lows
LOWV	Tsxv New Lows
M1DA	1-Month Hi-Lo AMEX
M1DB	1-Month Hi-Lo S&P 500 Materials
M1DC	1-Month Hi-Lo Russell 2000
M1DD	1-Month Hi-Lo Otcbb
M1DE	1-Month Hi-Lo ETFS
M1DF	1-Month Hi-Lo S&P 500 Financials
M1DG	1-Month Hi-Lo Russell 1000
M1DH	1-Month Hi-Lo Price GT $10
M1DI	1-Month Hi-Lo S&P 500 Industrials
M1DJ	1-Month Hi-Lo S&P 500 Utilities
M1DK	1-Month Hi-Lo S&P 500 Info Tech
M1DL	1-Month Hi-Lo Price Lt $10
M1DM	1-Month Hi-Lo S&P 500 Consumer Staples
M1DN	1-Month Hi-Lo NYSE
M1DO	1-Month Hi-Lo S&P 100
M1DP	1-Month Hi-Lo S&P 500
M1DQ	1-Month Hi-Lo Nasdaq
M1DR	1-Month Hi-Lo S&P 500 Real Estate
M1DS	1-Month Hi-Lo S&P 500 Health Care
M1DT	1-Month Hi-Lo S&P 500 Energies
