Symbol	Description
H8X19	Brazilian Real {Nov 19}
H8X20	Brazilian Real {Nov 20}
H8X21	Brazilian Real {Nov 21}
H8X22	Brazilian Real {Nov 22}
H8Z18	Brazilian Real {Dec 18}
H8Z19	Brazilian Real {Dec 19}
H8Z20	Brazilian Real {Dec 20}
H8Z21	Brazilian Real {Dec 21}
H8Z22	Brazilian Real {Dec 22}
HCH19	Turkish Lira/Euro {Mar 19}
HCM19	Turkish Lira/Euro {Jun 19}
HCU18	Turkish Lira/Euro {Sep 18}
HCZ18	Turkish Lira/Euro {Dec 18}
HDH19	Turkish Lira/USD {Mar 19}
HDM19	Turkish Lira/USD {Jun 19}
HDU18	Turkish Lira/USD {Sep 18}
HDZ18	Turkish Lira/USD {Dec 18}
HY	Canadian/Yen
HYH19	Canadian/Yen {Mar 19}
HYM19	Canadian/Yen {Jun 19}
HYU18	Canadian/Yen {Sep 18}
HYZ18	Canadian/Yen {Dec 18}
JJ	New Zealand Dollar
JJH19	New Zealand Dollar {Mar 19}
JJM19	New Zealand Dollar {Jun 19}
JJU18	New Zealand Dollar {Sep 18}
JJZ18	New Zealand Dollar {Dec 18}
JSQ18	ICE Soybeans {Aug 18}
KC	Coffee
KCH19	Coffee {Mar 19}
KCH20	Coffee {Mar 20}
KCH21	Coffee {Mar 21}
KCK19	Coffee {May 19}
KCK20	Coffee {May 20}
KCK21	Coffee {May 21}
KCN18	Coffee {Jul 18}
KCN19	Coffee {Jul 19}
KCN20	Coffee {Jul 20}
KCU18	Coffee {Sep 18}
KCU19	Coffee {Sep 19}
KCU20	Coffee {Sep 20}
KCZ18	Coffee {Dec 18}
KCZ19	Coffee {Dec 19}
KCZ20	Coffee {Dec 20}
KJ	Krona/Yen
KJH19	Krona/Yen {Mar 19}
KJM19	Krona/Yen {Jun 19}
KJU18	Krona/Yen {Sep 18}
KJZ18	Krona/Yen {Dec 18}
KU	Dollar/Krona
KUH19	Dollar/Krona {Mar 19}
KUM19	Dollar/Krona {Jun 19}
KUU18	Dollar/Krona {Sep 18}
KUZ18	Dollar/Krona {Dec 18}
KY	Krone/Yen
KYH19	Krone/Yen {Mar 19}
