Symbol	Description
HHF19	Natural Gas LDay (F) {Jan 19}
HHF20	Natural Gas LDay (F) {Jan 20}
HHF21	Natural Gas LDay (F) {Jan 21}
HHF22	Natural Gas LDay (F) {Jan 22}
HHF23	Natural Gas LDay (F) {Jan 23}
HHF24	Natural Gas LDay (F) {Jan 24}
HHF25	Natural Gas LDay (F) {Jan 25}
HHF26	Natural Gas LDay (F) {Jan 26}
HHF27	Natural Gas LDay (F) {Jan 27}
HHF28	Natural Gas LDay (F) {Jan 28}
HHF29	Natural Gas LDay (F) {Jan 29}
HHF30	Natural Gas LDay (F) {Jan 30}
HHG19	Natural Gas LDay (F) {Feb 19}
HHG20	Natural Gas LDay (F) {Feb 20}
HHG21	Natural Gas LDay (F) {Feb 21}
HHG22	Natural Gas LDay (F) {Feb 22}
HHG23	Natural Gas LDay (F) {Feb 23}
HHG24	Natural Gas LDay (F) {Feb 24}
HHG25	Natural Gas LDay (F) {Feb 25}
HHG26	Natural Gas LDay (F) {Feb 26}
HHG27	Natural Gas LDay (F) {Feb 27}
HHG28	Natural Gas LDay (F) {Feb 28}
HHG29	Natural Gas LDay (F) {Feb 29}
HHG30	Natural Gas LDay (F) {Feb 30}
HHH19	Natural Gas LDay (F) {Mar 19}
HHH20	Natural Gas LDay (F) {Mar 20}
HHH21	Natural Gas LDay (F) {Mar 21}
HHH22	Natural Gas LDay (F) {Mar 22}
HHH23	Natural Gas LDay (F) {Mar 23}
HHH24	Natural Gas LDay (F) {Mar 24}
HHH25	Natural Gas LDay (F) {Mar 25}
HHH26	Natural Gas LDay (F) {Mar 26}
HHH27	Natural Gas LDay (F) {Mar 27}
HHH28	Natural Gas LDay (F) {Mar 28}
HHH29	Natural Gas LDay (F) {Mar 29}
HHH30	Natural Gas LDay (F) {Mar 30}
HHJ19	Natural Gas LDay (F) {Apr 19}
HHJ20	Natural Gas LDay (F) {Apr 20}
HHJ21	Natural Gas LDay (F) {Apr 21}
HHJ22	Natural Gas LDay (F) {Apr 22}
HHJ23	Natural Gas LDay (F) {Apr 23}
HHJ24	Natural Gas LDay (F) {Apr 24}
HHJ25	Natural Gas LDay (F) {Apr 25}
HHJ26	Natural Gas LDay (F) {Apr 26}
HHJ27	Natural Gas LDay (F) {Apr 27}
HHJ28	Natural Gas LDay (F) {Apr 28}
HHJ29	Natural Gas LDay (F) {Apr 29}
HHJ30	Natural Gas LDay (F) {Apr 30}
HHK19	Natural Gas LDay (F) {May 19}
HHK20	Natural Gas LDay (F) {May 20}
HHK21	Natural Gas LDay (F) {May 21}
HHK22	Natural Gas LDay (F) {May 22}
HHK23	Natural Gas LDay (F) {May 23}
HHK24	Natural Gas LDay (F) {May 24}
HHK25	Natural Gas LDay (F) {May 25}
HHK26	Natural Gas LDay (F) {May 26}
HHK27	Natural Gas LDay (F) {May 27}
HHK28	Natural Gas LDay (F) {May 28}
HHK29	Natural Gas LDay (F) {May 29}
HHK30	Natural Gas LDay (F) {May 30}
HHM19	Natural Gas LDay (F) {Jun 19}
HHM20	Natural Gas LDay (F) {Jun 20}
HHM21	Natural Gas LDay (F) {Jun 21}
HHM22	Natural Gas LDay (F) {Jun 22}
HHM23	Natural Gas LDay (F) {Jun 23}
HHM24	Natural Gas LDay (F) {Jun 24}
HHM25	Natural Gas LDay (F) {Jun 25}
HHM26	Natural Gas LDay (F) {Jun 26}
HHM27	Natural Gas LDay (F) {Jun 27}
HHM28	Natural Gas LDay (F) {Jun 28}
