Symbol	Description
SWQ19	No. 5 White Sugar {Aug 19}
SWV18	No. 5 White Sugar {Oct 18}
SWV19	No. 5 White Sugar {Oct 19}
SWZ18	No. 5 White Sugar {Dec 18}
SWZ19	No. 5 White Sugar {Dec 19}
VF.C	5-Yr Euro Swapnote Continuation
VFU18	5-Yr Euro Swapnote {Sep 18}
VFZ18	5-Yr Euro Swapnote {Dec 18}
VT.C	10-Yr Euro Swapnote Continuation
VTU18	10-Yr Euro Swapnote {Sep 18}
VTZ18	10-Yr Euro Swapnote {Dec 18}
VW.C	2-Yr Euro Swapnote Continuation
VWU18	2-Yr Euro Swapnote {Sep 18}
VWZ18	2-Yr Euro Swapnote {Dec 18}
VX.C	2-Yr Dollar Swapnote Continuation
VXU18	2-Yr Dollar Swapnote {Sep 18}
VXZ18	2-Yr Dollar Swapnote {Dec 18}
VY.C	5-Yr Dollar Swapnote Continuation
VYU18	5-Yr Dollar Swapnote {Sep 18}
VYZ18	5-Yr Dollar Swapnote {Dec 18}
VZ.C	10Yr Dollar Swapnote Continuation
VZU18	10Yr Dollar Swapnote {Sep 18}
VZZ18	10Yr Dollar Swapnote {Dec 18}
X.C	FTSE 100 Continuation
XH19	FTSE 100 {Mar 19}
XM19	FTSE 100 {Jun 19}
XU18	FTSE 100 {Sep 18}
XZ18	FTSE 100 {Dec 18}
Y.C	FTSE 250 Continuation
YU18	FTSE 250 {Sep 18}
YZ18	FTSE 250 {Dec 18}
